Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7  ,Feat8,Feat9,Turbvalue
0.30435,0.0019788,0.13281,0.31361,0.69832,0.26433,0.4838,0.013901,0.26077,0.02
0.17391,0.00059012,0.52344,0.82249,0.44693,0.14593,0.42515,0.01024,0.14399,0.2
0.15217,0.0014279,0.375,0.60355,0.55866,0.13634,0.45262,0.010744,0.13451,0.2
0.23913,0.0017669,0.054688,0.10651,0.78771,0.21375,0.68807,0.21344,0.21089,0.0002
0.086957,0.0034378,0.33594,0.52071,0.47486,0.097725,0.46388,0.0073209,0.096644,0.4
0.23913,0.00089198,0.078125,0.16568,0.9162,0.22362,0.42447,0.0032345,0.2206,0.0002
0.30435,0.0010349,0.1875,0.46746,0.72067,0.27252,0.47136,0.01637,0.26884,0.02
0.086957,0.004177,0.36719,0.52663,0.26816,0.072991,0.42121,0.013324,0.072402,0.4
0.23913,0.025523,0.054688,0.10651,0.78771,0.24215,0.52476,0.025594,0.23822,0.0002
0.26087,0.00076266,0.35156,0.71006,0.51955,0.22352,0.44121,0.0073827,0.22052,0.04
0.28261,0.001519,0.20313,0.4497,0.63128,0.25244,0.40703,0.012508,0.24905,0.02
0.21739,0.0010588,0.36719,0.62722,0.52514,0.19939,0.46845,0.013182,0.19671,0.04
0.15217,0.0020999,0.45313,0.67456,0.18436,0.14056,0.43812,0.0092082,0.13873,0.2
0.26087,0.00053127,0.33594,0.63314,0.97207,0.21867,0.43222,0.01677,0.21573,0.04
0.043478,0.0026082,0.44531,0.56213,0.62011,0.047509,0.42294,0.010314,0.046705,1
0.13043,0.00064836,0.42188,0.64497,0.65363,0.10858,0.42555,0.019735,0.10713,1
0.30435,0.0028858,0.10156,0.25444,0.69832,0.26174,0.50139,0.021767,0.25825,0.02
0.30435,0.0010813,0.16406,0.40828,0.39665,0.26773,0.40754,0.021394,0.26414,0.02
0.21739,0.00079908,0.24219,0.46154,0.39665,0.19234,0.39055,0.033449,0.18975,0.04
0,0.0029998,0.28906,0.32544,0.3743,0.010704,0.44529,0.019831,0.01067,1
0.086957,0.0031643,0.42188,0.63905,0.4581,0.09716,0.44033,0.0054256,0.095802,0.4
0.19565,0.0016118,0.52344,1,0.36872,0.18426,0.42536,0.0070223,0.1818,0.2
0,0.0026176,0.35156,0.40828,0.25698,0.0087596,0.4651,0.0087034,0.0084919,1
0.13043,0.00076608,0.38281,0.56805,0.36313,0.11723,0.48159,0.011577,0.11565,1
0.13043,0.0013538,0.36719,0.55621,0.29609,0.10502,0.43818,0.02412,0.10362,0.2
0.086957,0.0077858,0.42969,0.60355,0.49721,0.096015,0.46606,0.0055585,0.094789,0.4
0.065217,0.0073725,0.38281,0.57396,0.22346,0.076722,0.42793,0.0067887,0.07493,0.4
0.30435,0.0015347,0.17188,0.42604,0.53073,0.27163,0.37603,0.023212,0.26798,0.02
0.28261,0.0024258,0.17188,0.42604,0.56983,0.25593,0.43835,0.001151,0.25242,0.02
0.17391,0.00036438,0.28906,0.48521,0.39106,0.15256,0.44637,0.033142,0.15052,0.04
0.30435,0.0013453,0.1875,0.4497,0.78771,0.2704,0.48536,0.018339,0.26677,0.02
0.19565,0.0010315,0.28906,0.49704,0.49162,0.16699,0.48652,0.015568,0.16477,0.04
0.13043,0.0015443,0.42188,0.63905,0.45251,0.11043,0.43884,0.016554,0.10891,0.4
0.065217,0.0083469,0.33594,0.52071,0.12849,0.081979,0.43242,0.0051587,0.080799,0.4
0.086957,0.00923,0.34375,0.57396,0.4581,0.10708,0.45905,0.0040994,0.10551,0.4
0.043478,0.0011429,0.38281,0.50888,0.44693,0.03124,0.41477,0.013233,0.030815,1
0.065217,0.0023648,0.42969,0.57396,0.6257,0.075667,0.44661,0.0064546,0.074714,0.2
0.30435,0.00048658,0.17188,0.42604,0.27933,0.26921,0.3205,0.047509,0.26558,0.02
0.086957,0.00065586,0.375,0.50888,0.22905,0.079044,0.43878,0.014426,0.077986,1
0.26087,0.00051548,0.28906,0.6568,0.55866,0.21998,0.43774,0.011363,0.21704,0.04
0.065217,0.0053006,0.35938,0.47929,0.42458,0.072799,0.4384,0.0055782,0.071408,0.4
0.086957,0.0018952,0.25781,0.34911,0.20112,0.074895,0.45755,0.0099508,0.073879,0.4
0.28261,0.00053913,0.17969,0.39645,0.45251,0.24381,0.49573,0.024209,0.24052,0.02
0.13043,0.00079715,0.51563,0.92308,0.41341,0.12028,0.4226,0.013057,0.11867,0.2
0.19565,0.00046647,0.32813,0.56213,0.26257,0.16455,0.47943,0.024779,0.16234,0.2
0.28261,0.000413,0.21875,0.48521,0.59777,0.24709,0.46735,0.040052,0.24377,0.02
0.67391,0.071064,0.0078125,0.071006,0.53073,0.51794,0.47994,0.025534,0.51172,0.0002
0.45652,0.19111,0.0078125,0.065089,0.72626,0.48921,0.52567,0.024961,0.47935,0.0002
